Source Name	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strains]	Term Source 2 REF	Term Source 2 Accession	Protocol REF	Protocol REF	Protocol REF	Assay Name	Experimental Condition [ # fill in]	Comment [Gene Identifier]	Comment [Gene Symbol]	Comment [Gene Annotation Comments]	Dataset Name	Image File	Comment [Image File Path]	Comment [Image File Comments]	Comment [Image File Type]	Channels	Protocol REF	Processed Data File	Position
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos129.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos129
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos130.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos130
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos131.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos131
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos132.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos132
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos133.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos133
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos134.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos134
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos135.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos135
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos136.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos136
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos137.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos137
EL687_and_EL702	Escherichia coli			EL687_and_EL702						subpool-1_run-1_EXP-19-BQ3550					subpool-1_run-1_EXP-19-BQ3550_phenotyping	Pos138.ome.tiff		Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.	raw	phase:Phase contrast, fluor: SeqA-YFP			Pos138
