Dataset Name,Image Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Strains],Term Source 2 REF,Term Source 2 Accession,Protocol REF,Assay Name,Experimental Condition [ # fill in],Comment [Gene Identifier],Comment [Gene Symbol],Comment [Gene Annotation Comments],Image File,Comment [Image File Path],Comment [Image File Comments],Comment [Image File Type],Channels,Processed Data File,Position
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos126],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos126.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos126
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos127],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos127.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos127
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos128],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos128.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos128
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos129],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos129.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos129
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos130],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos130.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos130
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos131],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos131.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos131
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos132],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos132.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos132
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos133],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos133.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos133
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos134],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos134.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos134
subpool-1_run-1_EXP-19-BQ3550,subpool-1_run-1_EXP-19-BQ3550 [Pos135],EL687_and_EL702,Escherichia coli,,,EL687_and_EL702,,,,subpool-1_run-1_EXP-19-BQ3550,,,,,Pos135.ome.tiff,,Note: A blank fluorescence image implies that no fluorescence image was aquired on this position at this timepoint.,raw,"phase:Phase contrast, fluor: SeqA-YFP",,Pos135
